Wife_age,Wife_education,Husband_education,Number_children,Wife_religion,Wife_type_job,Husband_occupation,Standard_of_living,Media_exposure,Contraceptive_method_used
24,low_medium,medium,3,Islam,,2,medium,good,No_use
45,low,medium,10,Islam,,3,high,good,No_use
43,low_medium,medium,7,Islam,,3,high,good,No_use
42,medium,low_medium,9,Islam,,3,medium,good,No_use
36,medium,medium,8,Islam,,3,low_medium,good,No_use
19,high,high,0,Islam,,3,medium,good,No_use
38,low_medium,medium,6,Islam,,3,low_medium,good,No_use
21,medium,medium,1,Islam,TYPE_4,3,low_medium,good,No_use
27,low_medium,medium,3,Islam,,3,high,good,No_use
45,low,low,8,Islam,,2,low_medium,no_good,No_use
38,low,medium,2,Islam,TYPE_2,3,medium,no_good,No_use
42,low,high,4,Islam,,1,medium,good,No_use
44,high,high,1,Islam,TYPE_4,1,high,good,No_use
42,low_medium,high,1,Islam,TYPE_1,3,medium,good,No_use
38,medium,high,2,Islam,,2,medium,good,No_use
26,low_medium,high,0,Islam,,4,low,good,No_use
48,low,low,7,Islam,,2,high,good,No_use
39,low_medium,low_medium,6,Islam,,2,high,good,No_use
37,low_medium,low_medium,8,Islam,,2,medium,good,No_use
39,low_medium,low,5,Islam,,2,low,no_good,No_use
26,medium,high,1,Islam,TYPE_3,4,low,good,No_use
24,medium,high,0,Islam,TYPE_4,3,low,good,No_use
46,high,high,1,No_Islam,,1,high,good,No_use
39,high,high,1,Islam,,1,high,good,No_use
48,high,high,5,Islam,,1,high,good,No_use
40,low_medium,high,8,Islam,,3,medium,good,No_use
38,high,high,1,Islam,TYPE_3,1,high,good,No_use
29,high,high,0,Islam,TYPE_4,1,high,good,No_use
24,high,high,0,Islam,TYPE_2,2,low_medium,good,No_use
43,low,low_medium,8,Islam,,2,high,good,No_use
31,medium,high,2,Islam,,1,high,good,No_use
31,high,high,2,Islam,,3,low_medium,good,No_use
26,low_medium,high,0,Islam,TYPE_2,1,low_medium,good,No_use
33,low_medium,low_medium,2,Islam,,3,low,good,No_use
24,low_medium,medium,1,Islam,,3,medium,good,No_use
42,low,medium,9,Islam,,3,low_medium,no_good,No_use
43,low,low_medium,8,Islam,TYPE_5,3,low,good,No_use
25,medium,medium,4,Islam,,3,low_medium,good,No_use
42,low_medium,low_medium,3,Islam,,3,high,good,No_use
28,low_medium,low_medium,1,Islam,,2,high,good,No_use
28,low,low,3,Islam,,3,low,good,No_use
